,engine.oxTank.liquid.mass,engine.oxTank.liquid.density,engine.oxTank.liquid.temperature,engine.oxTank.liquid.pressure,engine.oxTank.liquid.enthalpy,engine.oxTank.liquid.internalEnergy,engine.oxTank.liquid.volume,engine.pressTank.pressurantMassFlowRate,engine.pressTank.gas.mass,engine.pressTank.gas.density,engine.pressTank.gas.temperature,engine.pressTank.gas.pressure,engine.pressTank.gas.enthalpy,engine.pressTank.gas.internalEnergy,engine.pressTank.gas.volume,simControl.currentTime
2893,0.1937505939041233,954.852294323701,271.39319455998157,9307922.34582,158940.76315679014,149192.73992727822,0.0002029115864892509,0.23025177001998437,0.8994675391334781,214.32424735458832,202.5439872330341,10952459.127960017,158600.7903455798,107498.50367878132,0.004196760517000001,2.8929999999997924
2894,0.1918818592321233,955.0634552287028,271.34446705740584,9307922.34582,158843.67204758388,149097.80406900923,0.0002009100632859778,0.2302526818114912,0.8992372864516666,214.26938297029028,202.51522635763845,10946971.401932603,158575.17900553113,107485.41876922864,0.004196760517000001,2.8939999999997923
2895,0.19001312456012331,955.2765840095653,271.29526005584216,9307922.34582,158745.649343501,149001.95573515096,0.00019890901519074676,0.23025365693825842,0.8990070327947283,214.21451835363996,202.4864648992675,10941485.726505864,158549.5706785572,107472.33366120944,0.004196760517000001,2.894999999999792
2896,0.18814438988812332,955.4917188285358,271.2455640363128,9307922.34582,158646.6767453612,148905.1769893691,0.0001969084463848567,0.23025469714374955,0.8987767780975845,214.15965348913053,202.45770284853876,10936002.09936852,158523.96535538006,107459.24835011292,0.004196760517000001,2.895999999999792
2897,0.18627565521612333,955.708898978907,271.1953691935385,9307922.34582,158546.73540720047,148807.44935915258,0.00019490836112873167,0.23025580423332942,0.8985465222933512,214.10478836082487,202.42894019584338,10930520.518168949,158498.36302652405,107446.16283122505,0.004196760517000001,2.896999999999792
2898,0.18440692054412333,955.9281649303575,271.14466542433973,9307922.34582,158445.805914225,148708.75381418708,0.00019290876376422907,0.23025698007705359,0.8983162653132741,214.04992295234032,202.4001769313372,10925040.980513657,158472.76368230867,107433.07709972492,0.004196760517000001,2.897999999999792
2899,0.18253818587212334,956.1495583765874,271.09344231544435,9307922.34582,158343.86825963767,148609.07074362584,0.00019090965871704056,0.23025822661261597,0.8980860070866615,213.9950572468325,202.3714130449331,10919563.48396582,158447.16731284172,107419.99115068084,0.004196760517000001,2.8989999999997917
2900,0.18066945120012334,956.3731222853917,271.0416891306659,9307922.34582,158240.9018202761,148508.37993218965,0.00018891105049918968,0.2302595458484583,0.8978557475408131,213.94019122697844,202.34264852629116,10914088.02604363,158421.57390801067,107406.90497904635,0.004196760517000001,2.8999999999997916
2901,0.17880071652812335,956.5989009513403,270.98939479741074,9307922.34582,158136.88533097808,148406.66053502267,0.00018691294371162828,0.23026093986705592,0.897625486600946,213.88532487495897,202.3138833648102,10908614.604218656,158395.98345747552,107393.81857965597,0.004196760517000001,2.9009999999997915
2902,0.17693198185612335,956.8269400512011,270.9365478924743,9307922.34582,158031.7968576009,148303.89105122554,0.0001849153430469417,0.23026241082839183,0.8973952241901176,213.8304581724403,202.28511754961767,10903143.215914087,158370.39595065953,107380.73194722083,0.004196760517000001,2.9019999999997914
